,Area,Bathrooms,Bedrooms,Sales Price
0,8450,4,3,208500
1,9600,3,3,181500
2,11250,4,3,223500
3,9550,2,3,140000
4,14260,4,4,250000
5,14115,3,1,143000
6,10084,3,3,307000
7,10382,4,3,200000
8,6120,2,2,129900
9,7420,2,2,118000
10,11200,2,3,129500
11,11924,4,4,345000
12,12968,2,2,144000
13,10652,2,3,279500
14,10920,3,2,157000
15,6120,1,2,132000
16,11241,2,2,149000
17,10791,2,2,90000
18,13695,3,3,159000
19,7560,1,3,139000
20,14215,4,4,325300
21,7449,1,3,139400
22,9742,2,3,230000
23,4224,2,3,129900
24,8246,2,3,154000
25,14230,2,3,256300
26,7200,2,3,134800
27,11478,3,3,306000
28,16321,2,2,207500
29,6324,1,1,68500
30,8500,1,3,40000
31,8544,2,3,149350
32,11049,2,3,179900
33,10552,3,4,165500
34,7313,3,2,277500
35,13418,4,4,309000
36,10859,2,3,145000
37,8532,2,3,153000
38,7922,2,3,109000
39,6040,2,2,82000
40,8658,2,3,160000
41,16905,3,2,170000
42,9180,2,2,144000
43,9200,2,3,130250
44,7945,2,3,141000
45,7658,3,2,319900
46,12822,3,1,239686
47,11096,2,3,249700
48,4456,2,2,113000
49,7742,2,3,127000
50,13869,3,3,177000
51,6240,1,3,114500
52,8472,2,2,110000
53,50271,3,0,385000
54,7134,1,3,130000
55,10175,2,3,180500
56,2645,4,3,172500
57,11645,3,3,196500
58,13682,4,3,438780
59,7200,1,2,124900
60,13072,3,3,158000
61,7200,1,3,101000
62,6442,2,2,202500
63,10300,2,3,140000
64,9375,4,3,219500
65,9591,3,4,317000
66,19900,3,3,180000
67,10665,3,3,226000
68,4608,1,2,80000
69,15593,2,3,225000
70,13651,3,3,244000
71,7599,2,2,129500
72,10141,3,3,185000
73,10200,2,3,144900
74,5790,2,3,107400
75,1596,2,2,91000
76,8475,1,2,135750
77,8635,2,2,127000
78,10778,2,4,136500
79,10440,2,2,110000
80,13000,3,4,193500
81,4500,3,2,153500
82,10206,2,3,245000
83,8892,2,3,126500
84,8530,3,3,168500
85,16059,3,4,260000
86,11911,3,3,174000
87,3951,3,2,164500
88,8470,1,2,85000
89,8070,2,3,123600
90,7200,1,2,109900
91,8500,1,2,98600
92,13360,2,2,163500
93,7200,3,4,133900
94,9337,4,3,204750
95,9765,3,3,185000
96,10264,2,3,214000
97,10921,2,3,94750
98,10625,1,2,83000
99,9320,3,3,128950
100,10603,3,3,205000
101,9206,3,3,178000
102,7018,2,4,118964
103,10402,2,3,198900
104,7758,2,4,169500
105,9375,3,3,250000
106,10800,1,2,100000
107,6000,1,2,115000
108,8500,2,3,115000
109,11751,2,3,190000
110,9525,2,4,136900
111,7750,3,3,180000
112,9965,4,4,383970
113,21000,3,3,217000
114,7259,4,3,259500
115,3230,3,2,176000
116,11616,2,3,139000
117,8536,2,2,155000
118,12376,4,5,320000
119,8461,3,3,163990
120,21453,2,1,180000
121,6060,1,3,100000
122,9464,1,3,136000
123,7892,2,2,153900
124,17043,2,3,181000
125,6780,2,2,84500
126,4928,2,2,128000
127,4388,1,3,87000
128,7590,2,3,155000
129,8973,3,3,150000
130,14200,3,4,226000
131,12224,4,3,244000
132,7388,2,3,150750
133,6853,3,2,220000
134,10335,3,3,180000
135,10400,2,3,174000
136,10355,2,3,143000
137,11070,3,5,171000
138,9066,3,3,230000
139,15426,4,3,231500
140,10500,1,3,115000
141,11645,3,3,260000
142,8520,2,4,166000
143,10335,3,3,204000
144,9100,3,6,125000
145,2522,2,3,130000
146,6120,2,2,105000
147,9505,3,3,222500
148,7500,2,3,141000
149,6240,1,3,115000
150,10356,2,3,122000
151,13891,3,2,372402
152,14803,3,4,190000
153,13500,2,1,235000
154,11340,1,4,125000
155,9600,1,2,79000
156,7200,1,2,109500
157,12003,3,4,269500
158,12552,3,3,254900
159,19378,4,4,320000
160,11120,2,3,162500
161,13688,4,3,412500
162,12182,2,3,220000
163,5500,1,1,103200
164,5400,2,3,152000
165,10106,3,4,127500
166,10708,2,2,190000
167,10562,3,3,325624
168,8244,3,3,183500
169,16669,3,2,228000
170,12358,2,2,128500
171,31770,2,3,215000
172,5306,3,2,239000
173,10197,3,3,163000
174,12416,3,3,184000
175,12615,3,4,243000
176,10029,4,4,211000
177,13650,3,4,172500
178,17423,3,1,501837
179,8520,1,2,100000
180,2117,3,3,177000
181,7588,2,4,200100
182,9060,1,3,120000
183,11426,3,3,200000
184,7438,1,3,127000
185,22950,3,4,475000
186,9947,3,3,173000
187,10410,3,3,135000
188,7018,4,2,153337
189,4923,3,0,286000
190,10570,3,3,315000
191,7472,3,4,184000
192,9017,3,3,192000
193,2522,2,3,130000
194,7180,1,3,127000
195,2280,3,3,148500
196,9416,3,3,311872
197,25419,4,4,235000
198,5520,1,5,104000
199,9591,3,3,274900
200,8546,2,2,140000
201,10125,3,3,171500
202,7000,2,2,112000
203,4438,2,1,149000
204,3500,2,2,110000
205,11851,2,3,180500
206,13673,2,3,143900
207,12493,2,3,141000
208,14364,4,3,277000
209,8250,2,3,145000
210,5604,2,2,98000
211,10420,2,3,186000
212,8640,4,3,252678
213,13568,2,3,156000
214,10900,2,3,161750
215,10011,2,2,134450
216,8450,3,3,210000
217,9906,1,3,107000
218,15660,3,3,311500
219,3010,2,2,167240
220,8990,2,2,204900
221,8068,3,4,200000
222,11475,4,3,179900
223,10500,1,2,97000
224,13472,2,3,386250
225,1680,3,3,112000
226,9950,3,4,290000
227,1869,2,2,106000
228,8521,1,3,125000
229,3182,2,2,192500
230,8760,2,3,148000
231,15138,4,4,403000
232,1680,2,2,94500
233,10650,2,3,128200
234,7851,4,4,216500
235,1680,2,2,89500
236,8773,2,3,185500
237,9453,3,3,194500
238,12030,2,3,318000
239,8741,2,3,113000
240,9000,3,3,262500
241,3880,1,2,110500
242,5000,1,3,79000
243,10762,2,3,120000
244,8880,4,3,205000
245,10400,3,3,241500
246,9142,2,4,137000
247,11310,1,2,140000
248,11317,3,3,180000
249,159000,3,4,277000
250,5350,1,3,76500
251,4750,4,2,235000
252,8366,3,3,173000
253,9350,3,3,158000
254,8400,2,3,145000
255,8738,3,4,230000
256,8791,3,3,207500
257,8814,4,3,220000
258,12435,3,3,231500
259,12702,1,2,97000
260,19296,2,3,176000
261,9588,3,3,276000
262,8471,2,3,151000
263,5500,2,3,130000
264,5232,1,2,73000
265,12090,2,3,175500
266,11207,4,3,185000
267,8400,3,4,179500
268,6900,1,2,120500
269,7917,3,3,148000
270,10728,3,3,266000
271,39104,2,2,241500
272,11764,3,4,290000
273,9600,3,3,139000
274,8314,1,2,124500
275,7264,3,3,205000
276,9196,2,3,201000
277,19138,1,2,141000
278,14450,3,3,415298
279,10005,3,4,192000
280,11287,3,3,228500
281,7200,2,2,185000
282,5063,3,2,207500
283,9612,2,3,244600
284,8012,3,2,179200
285,4251,3,2,164700
286,9786,2,3,159000
287,8125,1,3,88000
288,9819,1,3,122000
289,8730,1,3,153575
290,15611,3,3,233230
291,5687,3,6,135900
292,11409,2,3,131000
293,16659,4,3,235000
294,9600,2,3,167000
295,7937,2,3,142500
296,13710,2,4,152000
297,7399,3,3,239000
298,11700,4,3,175000
299,14000,2,3,158500
300,15750,2,2,157000
301,16226,3,4,267000
302,13704,2,3,205000
303,9800,2,3,149900
304,18386,3,3,295000
305,10386,3,3,305900
306,13474,4,4,225000
307,7920,1,3,89500
308,12342,1,1,82500
309,12378,3,3,360000
310,7685,3,3,165600
311,8000,2,2,132000
312,7800,2,3,119900
313,215245,4,3,375000
314,9600,3,3,178000
315,7795,4,3,188500
316,13005,4,4,260000
317,9000,3,3,270000
318,9900,4,4,260000
319,14115,3,3,187500
320,16259,4,4,342643
321,12099,4,4,354000
322,10380,4,4,301000
323,5820,2,3,126175
324,11275,3,5,242000
325,5000,1,2,87000
326,10846,4,1,324000
327,11600,2,3,145250
328,11888,2,5,214500
329,6402,1,3,78000
330,10624,3,6,119000
331,8176,2,3,139000
332,10655,3,3,284000
333,8198,3,2,207000
334,9042,4,3,192000
335,164660,4,3,228950
336,14157,3,3,377426
337,9135,3,3,214000
338,14145,3,3,202500
339,12400,1,3,155000
340,14191,3,4,202900
341,8400,1,2,82000
342,8544,2,2,87500
343,8849,2,2,266000
344,2592,2,3,85000
345,6435,1,3,140200
346,12772,1,2,151500
347,17600,3,3,157500
348,2448,4,2,154000
349,20431,4,4,437154
350,7820,2,2,318061
351,5271,3,2,190000
352,9084,2,3,95000
353,8520,1,2,105900
354,8400,1,2,140000
355,11249,3,3,177500
356,9248,3,3,173000
357,4224,3,3,134000
358,6930,2,3,130000
359,12011,4,3,280000
360,7540,2,2,156000
361,9144,2,3,145000
362,7301,3,4,198500
363,1680,2,2,118000
364,18800,4,3,190000
365,10690,1,3,147000
366,9500,3,3,159000
367,9150,2,3,165000
368,7800,1,2,132000
369,9830,2,3,162000
370,8121,3,3,172400
371,17120,2,4,134432
372,7175,2,2,125000
373,10634,2,3,123000
374,8200,3,4,219500
375,10020,2,1,61000
376,8846,1,2,148000
377,11143,3,4,340000
378,11394,3,1,394432
379,8123,3,3,179000
380,5000,2,3,127000
381,7200,3,2,187750
382,9245,3,3,213500
383,9000,1,2,76000
384,53107,4,3,240000
385,3182,2,2,192000
386,8410,1,5,81000
387,7200,2,3,125000
388,9382,2,3,191000
389,12474,4,3,426000
390,8405,2,4,119000
391,12209,4,3,215000
392,8339,1,3,106500
393,7446,1,2,100000
394,10134,1,2,109000
395,9571,2,3,129000
396,7200,1,2,123000
397,7590,2,4,169500
398,8967,1,2,67000
399,8125,3,2,241000
400,14963,3,1,245500
401,8767,2,3,164990
402,10200,1,2,108000
403,12090,3,4,258000
404,10364,3,3,168000
405,9991,3,3,150000
406,10480,1,3,115000
407,15576,2,4,177000
408,14154,3,3,280000
409,10800,4,3,339750
410,9571,1,3,60000
411,34650,2,3,145000
412,4403,4,2,222000
413,8960,1,2,115000
414,11228,4,3,228000
415,8899,2,3,181134
416,7844,2,3,149500
417,22420,4,4,239000
418,8160,3,3,126000
419,8450,2,3,142000
420,7060,4,2,206300
421,16635,3,3,215000
422,21750,1,2,113000
423,9200,4,4,315000
424,9000,2,2,139000
425,3378,2,3,135000
426,12800,4,2,275000
427,8593,1,3,109008
428,6762,3,2,195400
429,11457,3,3,175000
430,1680,2,2,85400
431,5586,1,4,79900
432,1920,3,2,122500
433,10839,3,3,181000
434,1890,2,1,81000
435,10667,4,3,212000
436,4400,1,2,116000
437,6000,1,2,119000
438,4280,1,2,90350
439,12354,1,3,110000
440,15431,3,2,555000
441,12108,2,4,118000
442,6240,2,3,162900
443,3922,2,2,172500
444,8750,4,4,210000
445,9855,1,3,127500
446,16492,3,2,190000
447,11214,3,4,199900
448,8600,2,3,119500
449,6000,2,2,120000
450,5684,1,2,110000
451,70761,3,2,280000
452,9303,4,3,204000
453,9000,3,3,210000
454,9297,4,4,188000
455,9600,2,3,175500
456,4571,1,4,98000
457,53227,2,2,256000
458,5100,1,3,161000
459,7015,2,3,110000
460,8004,4,3,263435
461,7200,2,3,155000
462,8281,1,3,62383
463,11988,2,3,188700
464,8430,2,3,124000
465,3072,2,2,178740
466,10628,2,2,167000
467,9480,2,3,146500
468,11428,2,3,250000
469,9291,3,3,187000
470,6820,3,1,212000
471,11952,3,3,190000
472,3675,2,2,148000
473,14977,3,2,440000
474,5330,3,2,251000
475,8480,2,2,132500
476,13125,3,3,208900
477,13693,3,3,380000
478,10637,3,3,297000
479,5925,1,2,89471
480,16033,3,3,326000
481,11846,3,2,374000
482,2500,3,4,155000
483,4500,3,2,164000
484,7758,2,3,132500
485,9600,1,3,147000
486,10289,3,3,156000
487,12243,2,3,175000
488,10800,2,3,160000
489,1526,2,1,86000
490,2665,2,3,115000
491,9490,2,3,133000
492,15578,3,3,172785
493,7931,2,3,155000
494,5784,1,2,91300
495,7879,1,2,34900
496,12692,4,4,430000
497,9120,3,4,184000
498,7800,1,3,130000
499,7535,2,2,120000
500,1890,2,3,113000
501,9803,3,3,226700
502,9170,2,2,140000
503,15602,3,1,289000
504,2308,4,3,147000
505,7596,2,4,124500
506,9554,3,3,215000
507,7862,2,2,208300
508,9600,2,3,161000
509,9600,2,3,124500
510,14559,2,2,164900
511,6792,2,2,202665
512,9100,2,3,129900
513,9187,2,3,134000
514,10594,1,2,96500
515,12220,4,3,402861
516,10448,3,3,158000
517,10208,3,3,265000
518,9531,4,3,211000
519,10918,2,3,234000
520,10800,2,3,106250
521,11988,2,3,150000
522,5000,2,3,159000
523,40094,5,3,184750
524,11787,4,3,315750
525,7500,2,3,176000
526,13300,1,2,132000
527,14948,4,3,446261
528,9098,2,2,86000
529,32668,4,4,200624
530,10200,3,3,175000
531,6155,2,3,128000
532,7200,1,2,107500
533,5000,1,1,39300
534,9056,3,3,178000
535,7000,2,3,107500
536,8924,3,3,188000
537,12735,1,3,111250
538,11553,2,3,158000
539,11423,3,3,272000
540,14601,3,2,315000
541,11000,3,4,248000
542,10140,3,3,213250
543,4058,2,1,133000
544,17104,4,3,179665
545,13837,3,4,229000
546,8737,2,3,210000
547,7244,2,2,129500
548,8235,2,2,125000
549,9375,3,4,263000
550,4043,2,2,140000
551,6000,1,3,112500
552,11146,2,3,255500
553,8777,2,2,108000
554,10625,4,3,284000
555,6380,1,2,113000
556,14850,2,2,141000
557,11040,2,3,108000
558,21872,4,3,175000
559,3196,2,2,234000
560,11341,3,3,121500
561,10010,2,2,170000
562,13907,2,3,108000
563,21780,2,4,185000
564,13346,4,4,268000
565,6858,3,4,128000
566,11198,3,4,325000
567,10171,2,3,214000
568,12327,3,1,316600
569,7032,2,2,135960
570,13101,2,6,142600
571,7332,2,2,120000
572,13159,3,3,224500
573,9967,3,3,170000
574,10500,2,3,139000
575,8480,1,2,118500
576,6292,3,3,145000
577,11777,2,3,164500
578,3604,2,2,146000
579,12150,2,4,131500
580,14585,2,3,181900
581,12704,3,3,253293
582,11841,2,3,118500
583,13500,4,3,325000
584,6120,1,3,133000
585,11443,3,2,369900
586,10267,2,2,130000
587,8740,2,2,137000
588,25095,3,1,143000
589,9100,1,2,79500
590,8320,3,3,185900
591,13478,4,3,451950
592,6600,2,2,138000
593,4435,2,1,140000
594,7990,1,3,110000
595,11302,3,3,319000
596,3600,1,3,114504
597,3922,4,2,194201
598,12984,3,3,217500
599,1950,4,3,151000
600,10927,4,3,275000
601,9000,2,3,141000
602,10041,4,3,220000
603,3182,3,2,151000
604,12803,3,3,221000
605,13600,3,3,205000
606,12464,2,3,152000
607,7800,4,3,225000
608,12168,3,4,359100
609,7943,2,3,118500
610,11050,4,3,313000
611,10395,3,3,148000
612,11885,4,3,261500
613,8402,1,3,147000
614,1491,2,1,75500
615,8800,2,3,137500
616,7861,4,3,183200
617,7227,1,2,105500
618,11694,2,3,314813
619,12244,4,4,305000
620,8248,2,2,67000
621,10800,3,4,240000
622,7064,1,3,135000
623,2117,3,2,168500
624,10400,4,4,165150
625,10000,2,3,160000
626,12342,1,3,139900
627,9600,2,3,153000
628,11606,4,5,135000
629,9020,3,3,168500
630,9000,1,3,124000
631,4590,2,2,209500
632,11900,2,3,82500
633,9250,2,3,139400
634,6979,2,0,144000
635,10896,2,8,200000
636,6120,1,1,60000
637,6000,2,3,93000
638,8777,1,2,85000
639,3982,3,1,264561
640,12677,2,1,274000
641,7050,4,3,226000
642,13860,4,4,345000
643,10793,3,4,152000
644,9187,4,2,370878
645,10530,3,3,143250
646,7200,1,3,98300
647,10452,1,3,155000
648,7700,2,4,155000
649,1936,2,1,84500
650,8125,3,3,205950
651,9084,2,4,108000
652,8750,3,2,191000
653,10320,1,3,135000
654,10437,4,2,350000
655,1680,2,3,88000
656,10007,3,3,145500
657,7200,2,3,149000
658,17503,2,3,97500
659,9937,2,3,167000
660,12384,3,3,197900
661,46589,4,4,402000
662,13560,2,2,110000
663,10012,3,3,137500
664,20896,3,1,423000
665,11194,3,3,230500
666,18450,3,3,129000
667,8125,3,3,193500
668,14175,3,3,168000
669,11600,1,2,137500
670,8633,4,3,173500
671,6629,3,3,103600
672,11250,3,3,165000
673,14442,3,3,257500
674,9200,2,3,140000
675,2289,3,3,148500
676,9600,3,4,87000
677,9022,1,2,109500
678,11844,3,3,372500
679,9945,2,3,128500
680,8012,2,2,143000
681,4500,1,3,159434
682,2887,2,2,173000
683,11248,3,3,285000
684,16770,3,4,221000
685,5062,3,3,207500
686,10207,3,3,227875
687,5105,3,2,148800
688,8089,3,2,392000
689,7577,2,2,194700
690,4426,2,1,141000
691,21535,5,4,755000
692,26178,4,4,335000
693,5400,1,2,108480
694,6120,2,3,141500
695,13811,3,2,176000
696,6000,1,2,89000
697,6420,2,2,123500
698,8450,2,3,138500
699,4282,2,2,196000
700,14331,3,3,312500
701,9600,2,3,140000
702,12438,3,4,361919
703,7630,2,4,140000
704,8400,3,3,213000
705,5600,2,3,55000
706,115149,3,2,302000
707,6240,3,2,254000
708,9018,3,3,179540
709,7162,1,3,109900
710,4130,1,2,52000
711,8712,1,2,102776
712,4671,3,2,189000
713,9873,2,3,129000
714,13517,3,3,130500
715,10140,2,3,165000
716,10800,2,3,159500
717,10000,3,3,157000
718,10542,4,3,341000
719,9920,2,3,128500
720,6563,3,2,275000
721,4426,2,1,143000
722,8120,1,3,124500
723,8172,2,4,135000
724,13286,3,3,320000
725,6960,1,3,120500
726,21695,3,3,222000
727,7314,3,2,194500
728,11475,3,4,110000
729,6240,1,2,103000
730,5389,3,2,236500
731,9590,3,3,187500
732,11404,3,3,222500
733,10000,2,3,131400
734,8978,1,3,108000
735,10800,2,2,163000
736,8544,2,2,93500
737,10463,3,3,239900
738,10800,6,3,179000
739,9313,3,3,190000
740,9600,2,2,132000
741,6768,3,3,142000
